file	all	nonSym	cladeC	cladeD
SRR1653611_symbCounts.tsv	2597228	2164720	143484	5411	282958	655
SRR1653613_symbCounts.tsv	1045174	886158	37498	1937	119466	115
SRR1653615_symbCounts.tsv	1743131	1494414	100421	2438	145727	131
SRR1654664_symbCounts.tsv	3532039	2920339	151745	5033	454670	252
SRR1654665_symbCounts.tsv	5695770	4718287	410214	6332	560587	350
SRR1812166_symbCounts.tsv	3235485	2430925	374	1704	5941	796541
SRR1812167_symbCounts.tsv	3291280	2555917	456	2163	15409	717335
SRR1812168_symbCounts.tsv	3202857	2461867	385	1676	5601	733328
SRR1812169_symbCounts.tsv	2481178	2221770	213	1021	6393	251781
SRR1812170_symbCounts.tsv	3485283	2925352	312	1434	3956	554229
SRR1812171_symbCounts.tsv	3076376	2427390	440	5983	498506	144057
SRR1812172_symbCounts.tsv	3721653	3100591	451	1698	4676	614237
SRR1812173_symbCounts.tsv	3406473	2598177	421	2316	46335	759224
SRR1812174_symbCounts.tsv	3087497	2463435	429	1643	2973	619017
SRR1812175_symbCounts.tsv	2425822	1684549	638	3104	5547	731984
SRR1812176_symbCounts.tsv	2534588	1809225	407	2466	40946	681544
SRR1812177_symbCounts.tsv	2693262	1943788	394	1754	6386	740940
SRR1812178_symbCounts.tsv	3383904	2588158	550	2106	8669	784421
SRR1812179_symbCounts.tsv	2217470	1903145	331	1106	3634	309254
SRR1812180_symbCounts.tsv	2635751	2178565	240	1136	3833	451977
SRR1812181_symbCounts.tsv	2907791	2002654	505	7885	736419	160328
SRR1812182_symbCounts.tsv	3424777	2759181	492	1858	3590	659656
SRR1812183_symbCounts.tsv	1868558	1387115	475	2019	32597	446352
SRR1812184_symbCounts.tsv	2962915	2106410	431	1789	5015	849270
SRR1812185_symbCounts.tsv	2770048	1974486	491	1922	4227	788922
SRR1812186_symbCounts.tsv	3102134	2478210	471	5335	426236	191882
SRR1812187_symbCounts.tsv	3947353	3153331	435	8267	737386	47934
SRR1812188_symbCounts.tsv	2783363	2184151	430	5251	429981	163550
SRR1812189_symbCounts.tsv	3525045	2878407	381	1661	4894	639702
SRR1812190_symbCounts.tsv	3690586	3022730	358	1660	3839	661999
SRR1812191_symbCounts.tsv	3452317	2750488	355	7347	692271	1856
SRR1812192_symbCounts.tsv	4071839	3049813	472	10050	1007283	4221
SRR1812193_symbCounts.tsv	3603178	2897465	402	7342	693764	4205
SRR1812194_symbCounts.tsv	3405313	2393179	530	7859	715593	288152
SRR1812195_symbCounts.tsv	2834254	2209838	607	6301	498566	118942
SRR1812196_symbCounts.tsv	3004895	2606087	342	4634	318542	75290
SRR1812197_symbCounts.tsv	2490565	2027178	338	4257	319730	139062
SRR1812198_symbCounts.tsv	3336012	2792825	296	1393	5123	536375
SRR1812199_symbCounts.tsv	3711731	2952299	462	1800	4180	752990
SRR1812200_symbCounts.tsv	2893645	2064362	426	8343	818252	2262
SRR1812201_symbCounts.tsv	2864354	2048028	478	8730	801559	5559
SRR1812202_symbCounts.tsv	2620119	2141008	352	5537	470547	2675
SRR1812203_symbCounts.tsv	2777513	1454568	541	9821	1026626	285957
SRR1812204_symbCounts.tsv	3197354	2545758	401	1703	5552	643940
SRR1812205_symbCounts.tsv	3440646	2434656	397	1904	4806	998883
SRR1812206_symbCounts.tsv	2896770	2277785	322	1468	4132	613063
SRR1812207_symbCounts.tsv	3071504	2416561	356	1598	5669	647320
SRR1812208_symbCounts.tsv	3314568	2714476	342	1547	4027	594176
SRR1812209_symbCounts.tsv	3136678	2431483	430	7212	691916	5637
SRR1812210_symbCounts.tsv	3729382	2919156	395	1807	4369	803655
SRR1812211_symbCounts.tsv	3993934	3345318	386	1610	5489	641131
SRR1812212_symbCounts.tsv	3441910	2829817	525	1636	3238	606694
SRR1812213_symbCounts.tsv	3592318	2819574	389	1655	4389	766311
SRR1812214_symbCounts.tsv	2575756	1891071	367	1638	5157	677523
SRR1812215_symbCounts.tsv	2738233	2124570	355	1563	4528	607217
SRR1812216_symbCounts.tsv	2919121	2068263	395	1824	5530	843109
SRR1812217_symbCounts.tsv	2364977	1976303	369	1291	4406	382608
SRR1812218_symbCounts.tsv	3013219	2213020	397	1785	5168	792849
SRR1812219_symbCounts.tsv	2658281	1864507	348	7857	782411	3158
SRR1812220_symbCounts.tsv	2597832	2143968	337	1314	3047	449166
SRR1812221_symbCounts.tsv	2630970	2132429	370	1366	3214	493591
SRR1812222_symbCounts.tsv	2424180	1973916	393	1337	3738	444796
SRR1812223_symbCounts.tsv	3085133	2624352	430	1433	2905	456013
SRR1812224_symbCounts.tsv	3184690	2556811	374	5137	436563	185805
