my_title,Run,my_stage,Organism,treat,treatDescription,special,bleached,stress
k1_Seneca2015_PRJNA274317,SRR1812224,adult,Acropora hyacinthus,control,X28_102_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274318,SRR1812225,adult,Acropora hyacinthus,control,X4_70_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274319,SRR1812226,adult,Acropora hyacinthus,control,X32_28_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274320,SRR1812227,adult,Acropora hyacinthus,control,X10_11_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274321,SRR1812228,adult,Acropora hyacinthus,control,X50_89_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274322,SRR1812229,adult,Acropora hyacinthus,control,X6_65_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274323,SRR1812230,adult,Acropora hyacinthus,control,X52_61_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274324,SRR1812231,adult,Acropora hyacinthus,control,X54_64_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274325,SRR1812232,adult,Acropora hyacinthus,control,X8_40_300_c_5h,none,yes,control
k1_Seneca2015_PRJNA274326,SRR1812233,adult,Acropora hyacinthus,heat,X40_102_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274327,SRR1812234,adult,Acropora hyacinthus,heat,X16_70_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274328,SRR1812235,adult,Acropora hyacinthus,heat,X44_28_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274329,SRR1812236,adult,Acropora hyacinthus,heat,X22_11_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274330,SRR1812237,adult,Acropora hyacinthus,heat,X64_89_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274331,SRR1812238,adult,Acropora hyacinthus,heat,X18_65_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274332,SRR1812239,adult,Acropora hyacinthus,heat,X66_61_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274333,SRR1812240,adult,Acropora hyacinthus,heat,X68_64_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274334,SRR1812241,adult,Acropora hyacinthus,heat,X20_40_300_h_5h,none,yes,stressed
k1_Seneca2015_PRJNA274335,SRR1812242,adult,Acropora hyacinthus,control,X140_86_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274336,SRR1812243,adult,Acropora hyacinthus,control,X130_6_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274337,SRR1812244,adult,Acropora hyacinthus,control,X78_27_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274338,SRR1812245,adult,Acropora hyacinthus,control,X82_87_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274339,SRR1812246,adult,Acropora hyacinthus,control,X86_83_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274340,SRR1812247,adult,Acropora hyacinthus,control,X88_85_300_c_20h,none,yes,control
k1_Seneca2015_PRJNA274341,SRR1812248,adult,Acropora hyacinthus,control,X108_75_300_c_20h,none,yes,control
